crop,district,best_model,MAE,RMSE,MAPE,MASE
Beans,Ampara,Prophet,1.8549801275899889,1.9258270049439548,107.77957026379958,1.8549801275899889
Beans,Anuradhapura,ARIMA,16.74166666666666,19.548021354829967,14.246208248766399,16.74166666666666
Beans,Badulla,Prophet,307.37521090789454,354.0616807139184,10.752127942823837,307.37521090789454
Beans,Batticaloa,Prophet,0.8661449587203318,0.8763163129575824,8661449587.20332,0.8661449587203318
Beans,Colombo,Prophet,0.22415513092768843,0.22836550334713288,46.165281713100995,0.22415513092768843
Beans,Galle,Prophet,0.010778802015598518,0.01082034653626311,107788020.15598516,0.010778802015598518
Beans,Gampaha,ARIMA,0.5833333333333336,0.5833333333333335,16.35514014106036,0.5833333333333336
Beans,Hanbantota,SARIMA,0.3429506328152658,0.3686251330781518,1093579857.134073,0.3429506328152658
Beans,Jaffna,SARIMA,13.002425739831784,13.691583203454556,71.61575947959604,13.002425739831784
Beans,Kaluthara,ARIMA,0.0,0.0,0.0,0.0
Beans,Kandy,SARIMA,83.02876137647009,103.17839775836522,13.075307815965568,83.02876137647009
Beans,Kegalle,SARIMA,1.9981581291290376,2.09172382570663,12.539679143637375,1.9981581291290376
Beans,Kilinochchi,ARIMA,0.0,0.0,0.0,0.0
Beans,Kurunegala,SARIMA,2.818226521981432,3.680864063147482,6.141732530301567,2.818226521981432
Beans,Mannar,ARIMA,10.466666666666669,10.51432884739255,350.6504664198024,10.466666666666669
Beans,Matale,Prophet,40.020104492131374,52.284124359623966,9.834998177340596,40.020104492131374
Beans,Matara,ARIMA,2.1250000000000004,2.2980970388562807,19.78788747741726,2.1250000000000004
Beans,Monaragala,Prophet,28.94356693732298,30.54130782250931,37.813091324368656,28.94356693732298
Beans,Mullativu,Prophet,2.2045340145622014,2.459729071125965,16.599867676875824,2.2045340145622014
Beans,Nuwara Eliya,SARIMA,758.0333604237754,767.2899423588857,25.84657479739107,758.0333604237754
Beans,Polonnaruwa,ARIMA,1.8916666666666668,2.2627723899873113,84.9081722341764,1.8916666666666668
Beans,Puttalam,ARIMA,7.343756954988635,10.938331478885784,563.7580915438986,7.343756954988635
Beans,Ratnapura,SARIMA,47.01560289418412,47.30433740925036,13.95033594416304,47.01560289418412
Beans,Trincomalee,Prophet,0.5438808879836206,0.6437820716309666,340.69969705206,0.5438808879836206
Beans,Vavuniya,Prophet,10.438488020381913,13.03288844916971,37.8064357925813,10.438488020381913
Beetroot,Ampara,ARIMA,0.0,0.0,0.0,0.0
