year,month,Location_district,Crop_nam,harvested,Productio,yield
2001,March,Kandy,Beans,104.0,250.83333333333334,2.4118589743589745
2001,March,Kandy,Beetroot,12.833333333333334,45.666666666666664,3.558441558441558
2001,March,Kandy,Cabbage,84.5,361.8333333333333,4.282051282051282
2001,March,Kandy,Carrot,17.5,49.666666666666664,2.838095238095238
2001,March,Kandy,Tomatoes,99.66666666666667,399.1666666666667,4.005016722408027
2001,March,Kegalle,Beans,3.8333333333333335,16.0,4.173913043478261
2001,March,Kegalle,Beetroot,0.0,0.0,0.0
2001,March,Kegalle,Cabbage,0.16666666666666666,0.6666666666666666,4.0
2001,March,Kegalle,Carrot,0.0,0.0,0.0
2001,March,Kegalle,Tomatoes,4.0,16.5,4.125
2001,March,Kilinochchi,Beans,2.5,13.666666666666666,5.466666666666667
2001,March,Kilinochchi,Beetroot,0.6666666666666666,4.166666666666667,6.250000000000001
2001,March,Kilinochchi,Cabbage,2.8333333333333335,15.5,5.470588235294118
2001,March,Kilinochchi,Carrot,0.16666666666666666,0.8333333333333334,5.000000000000001
2001,March,Kilinochchi,Tomatoes,3.6666666666666665,15.5,4.2272727272727275
2001,March,Kurunegala,Beans,0.6666666666666666,1.5,2.25
2001,March,Kurunegala,Beetroot,20.166666666666668,138.5,6.867768595041322
2001,March,Kurunegala,Cabbage,0.0,0.0,0.0
2001,March,Kurunegala,Carrot,0.0,0.0,0.0
2001,March,Kurunegala,Tomatoes,21.166666666666668,136.83333333333334,6.464566929133858
2001,March,Mannar,Beans,0.3333333333333333,1.5,4.5
2001,March,Mannar,Beetroot,1.3333333333333333,11.166666666666666,8.375
2001,March,Mannar,Cabbage,1.3333333333333333,14.833333333333334,11.125000000000002
2001,March,Mannar,Carrot,1.0,2.6666666666666665,2.6666666666666665
2001,March,Mannar,Tomatoes,3.0,21.333333333333332,7.111111111111111
2001,March,Matale,Beans,155.83333333333334,663.5,4.257754010695187
2001,March,Matale,Beetroot,34.833333333333336,171.0,4.909090909090909
2001,March,Matale,Cabbage,38.833333333333336,352.6666666666667,9.081545064377682
2001,March,Matale,Carrot,1.1666666666666667,4.5,3.8571428571428568
2001,March,Matale,Tomatoes,110.66666666666667,932.8333333333334,8.42921686746988
2001,March,Matara,Beans,0.0,0.0,0.0
2001,March,Matara,Beetroot,0.0,0.0,0.0
2001,March,Matara,Cabbage,0.0,0.0,0.0
2001,March,Matara,Carrot,0.0,0.0,0.0
2001,March,Matara,Tomatoes,1.0,4.666666666666667,4.666666666666667
2001,March,Monaragala,Beans,5.333333333333333,21.5,4.03125
2001,March,Monaragala,Beetroot,0.0,0.0,0.0
2001,March,Monaragala,Cabbage,0.0,0.0,0.0
2001,March,Monaragala,Carrot,0.0,0.0,0.0
2001,March,Monaragala,Tomatoes,43.833333333333336,254.66666666666666,5.809885931558934
2001,March,Mullativu,Beans,0.3333333333333333,0.3333333333333333,1.0
2001,March,Mullativu,Beetroot,0.16666666666666666,0.16666666666666666,1.0
2001,March,Mullativu,Cabbage,2.3333333333333335,2.6666666666666665,1.1428571428571428
2001,March,Mullativu,Carrot,0.0,0.0,0.0
2001,March,Mullativu,Tomatoes,5.0,33.5,6.7
2001,March,Nuwara Eliya,Beans,225.16666666666666,897.8333333333334,3.987416728349371
2001,March,Nuwara Eliya,Beetroot,171.83333333333334,1868.5,10.873908826382152
2001,March,Nuwara Eliya,Cabbage,304.8333333333333,4448.666666666667,14.593767085839259
